geohash,day_of_week,weekend,day,hour,minute,n
9q59x3,2,0,11,23,35,28
9q59x3,2,0,11,23,40,28
9q59x3,3,0,12,22,20,28
9q59x3,3,0,12,22,25,28
9q59x3,3,0,12,22,30,28
9q59x3,3,0,12,22,35,28
9q59x3,3,0,12,22,40,28
9q59x3,3,0,12,22,45,28
9q59x3,3,0,12,22,50,28
9q59x3,3,0,12,22,55,28
9q59x3,4,0,13,22,10,28
9q59x3,4,0,13,22,15,28
9q59x3,4,0,13,22,20,28
9q59x3,4,0,13,22,40,28
9q59x3,4,0,13,22,50,28
9q59x3,4,0,13,22,55,28
9q59x3,5,0,14,22,35,28
9q59x3,5,0,14,22,40,28
9q59x3,6,1,15,21,55,28
9q59x3,6,1,15,22,5,28
9q59x3,6,1,15,22,10,28
9q59x3,6,1,15,22,20,28
9q59x3,6,1,15,22,35,28
9q59x3,6,1,15,22,40,28
9q59x3,6,1,15,22,45,28
9q59x3,6,1,15,22,50,28
9q59x3,6,1,15,22,55,28
9q59x3,6,1,15,23,0,28
9q59x3,6,1,15,23,25,28
9q59x6,6,1,15,21,15,28
9q59x6,6,1,15,21,20,28
9q59x6,6,1,15,21,40,28
9q59x6,6,1,15,21,45,28
9q59x6,6,1,15,23,45,28
9q59x8,6,1,15,22,5,28
9q59x9,5,0,14,21,25,28
9q59xd,2,0,11,21,10,28
9q59x2,4,0,13,22,50,27
9q59x2,4,0,13,23,0,27
9q59x2,5,0,14,22,15,27
9q59x2,5,0,14,22,20,27
9q59x3,2,0,11,21,25,27
9q59x3,2,0,11,22,5,27
9q59x3,2,0,11,22,10,27
9q59x3,2,0,11,22,15,27
9q59x3,3,0,12,21,55,27
9q59x3,3,0,12,22,0,27
9q59x3,3,0,12,23,0,27
9q59x3,3,0,12,23,30,27
9q59x3,4,0,13,22,0,27
9q59x3,4,0,13,22,25,27
9q59x3,4,0,13,22,30,27
9q59x3,4,0,13,22,35,27
9q59x3,5,0,14,22,0,27
9q59x3,5,0,14,22,15,27
9q59x3,5,0,14,22,25,27
9q59x3,5,0,14,22,45,27
9q59x3,5,0,14,22,50,27
9q59x3,5,0,14,23,0,27
9q59x3,6,1,15,22,0,27
9q59x3,6,1,15,23,5,27
9q59x3,6,1,15,23,10,27
9q59x3,6,1,15,23,15,27
9q59x3,6,1,15,23,20,27
9q59x3,6,1,15,23,30,27
9q59x3,6,1,15,23,35,27
9q59x3,6,1,15,23,40,27
9q59x6,6,1,15,21,10,27
9q59x9,5,0,14,21,20,27
9q59xd,2,0,11,21,5,27
9q59xd,2,0,11,21,15,27
9q59xd,2,0,11,23,25,27
9q59xd,2,0,11,23,30,27
9q59xd,2,0,11,23,35,27
9q59xd,5,0,14,21,0,27
9q59xd,5,0,14,21,5,27
9q59xd,5,0,14,21,10,27
9q59x2,4,0,13,22,55,26
9q59x2,4,0,13,23,15,26
9q59x2,4,0,13,23,35,26
9q59x2,4,0,13,23,40,26
9q59x2,4,0,13,23,55,26
9q59x2,5,0,14,21,30,26
9q59x3,2,0,11,21,10,26
